,company_name,company_type,company_phone,street_address,city,state,zipcode,member_type,independent_craft
0,52 Brewing,Planning,N/A,N/A,Dahlonega,GA,30533,Beer Association Associate Member,N/A
1,6S Brewing Company,Taproom,(678) 597-8335,3111 Main Street,"Duluth, ",GA,30096,Beer Association Member,Independent Craft Brewer
2,Abide Brewing Company,Micro,(678) 972-6747,110 Werz Industrial Blvd Ste 130,"Newnan, ",GA,30263-5802,Beer Association Member,Independent Craft Brewer
3,Akademia Brewing Company,Brewpub,(706) 461-3208,150 Crane Dr,"Athens, ",GA,30606-0600,N/A,Independent Craft Brewer
4,Amici At Trillith,Brewpub,(678) 892-5858,355 Trilith Parkway STE 110,"Fayetteville, ",GA,30214,N/A,Independent Craft Brewer
5,Amici Madison,Brewpub,(706) 342-0000,174 W Washington St,"Madison, ",GA,30650,N/A,Independent Craft Brewer
6,Anderby Brewing,Taproom,(404) 436-3905,110 Technology Parkway,"Peachtree Corners, ",GA,30092,Beer Association Member,Independent Craft Brewer
7,Angry Hops Brewing,Taproom,N/A,341 E Main St,"Blue Ridge, ",GA,30513,N/A,Independent Craft Brewer
8,Anheuser-Busch Inc â€“ Cartersville,Large,(770) 386-2000,100 Busch Dr NE,"Cartersville, ",GA,30121-7217,N/A,N/A
9,Arches Brewing,Micro,(678) 653-2739,3361 Dogwood Dr,"Hapeville, ",GA,30354-1439,Beer Association Member,Independent Craft Brewer
10,Athentic Brewing Company,Taproom,(706) 296-3992,108 Park Ave,"Athens, ",GA,30601,Beer Association Member,Independent Craft Brewer
11,Atlanta Brewing,Micro,(404) 355-5558,2323 Defoor Hills Rd NW,"Atlanta, ",GA,30318-2207,Beer Association Member,Independent Craft Brewer
12,Awkward Brewing,Taproom,(425) 879-7891,240 Lee St.,"Fayetteville, ",GA,30214,N/A,Independent Craft Brewer
13,Back Paddle Brewing,Brewpub,(706) 359-8057,3472 Bethany Church Rd,"Lincolnton, ",GA,30817,Beer Association Member,Independent Craft Brewer
14,Barrier Island Brewing,Brewpub,(912) 268-2774,1226 Ocean Blvd #1 ,"St. Simons Island, ",GA,31522,Beer Association Member,Independent Craft Brewer
15,Beacon Brewing Co.,Brewpub,(706) 402-0830,700 Lincoln St.,"LaGrange, ",GA,30240,Beer Association Member,Independent Craft Brewer
16,Best End Brewing Company,Brewpub,(470) 391-0999,1036 White St SW,"Atlanta, ",GA,30310-2634,N/A,Independent Craft Brewer
17,Big O Brewery,Planning,N/A,N/A,Canton,GA,30114-5889,Beer Association Associate Member,N/A
18,Biggerstaff Brewing Company,Brewpub,(404) 796-9919,537 Edgewood Ave,"Atlanta, ",GA,30312,N/A,Independent Craft Brewer
19,Black Bee Brewery,Planning,N/A,N/A,Atlanta,GA,30317,Beer Association Associate Member,N/A
20,Blackbird Farms Brewery,Taproom,N/A,4098 Lawrenceville Hwy,"Lilburn, ",GA,30047,N/A,Independent Craft Brewer
21,BlueTarp Brewing Co,Taproom,(404) 669-6740,2316 Main St STE K,"Tucker, ",GA,30084,N/A,Independent Craft Brewer
22,Brackish Beer Company,Taproom,(912) 322-6743,907 Dilworth St,"Saint Marys, ",GA,31558,N/A,Independent Craft Brewer
23,Braselton Brewing Company,Brewpub,(706) 684-0686,9859 Davis St,"Braselton, ",GA,30517,Beer Association Member,Independent Craft Brewer
24,"Brewery in Planning - Cumming, GA",Planning,N/A,N/A,Cumming,GA,30041,Beer Association Associate Member,N/A
25,Bucking Goat Brewing Company,Taproom,(770) 298-1739,76 seven hills BLVD,"Dallas, ",GA,30132,N/A,Independent Craft Brewer
26,Burnt Hickory Brewery,Micro,(770) 514-8812,2260 Moon Station Ct NW Ste 210,"Kennesaw, ",GA,30144-5653,N/A,Independent Craft Brewer
27,Camp Brewing Company,Planning,N/A,N/A,Hampton,GA,30228,Beer Association Associate Member,N/A
28,Candler Rail Brewery,Brewpub,(404) 464-5035,1660 Dekalb Ave,"Atlanta, ",GA,30307,N/A,Independent Craft Brewer
29,Cannon Brewpub,Brewpub,(706) 653-2337,1041 Broadway,"Columbus, ",GA,31901-5256,Beer Association Member,Independent Craft Brewer
30,Cartecay River Brewing Co,Taproom,(706) 395-8985,26 River Ter,"Ellijay, ",GA,30540,Beer Association Member,Independent Craft Brewer
31,Chattabrewchee Southern Brewhouse,Taproom,706-641-2733,"1301 6th Ave, Ste C","Columbus, ",GA,31901,N/A,Independent Craft Brewer
32,Cherokee Brewing + Pizza Company,Brewpub,(706) 529-9478,207-B West Cuyler St,"Dalton, ",GA,30720,N/A,Independent Craft Brewer
33,Cherry Street Brewing,Brewpub,(970) 980-3646,5810 Bond St ,"Cumming, ",GA,30040-0301,Beer Association Member,Independent Craft Brewer
34,Cherry Street Brewpub At Halcyon,Brewpub,(678) 456-8189,"6640 Town Sq, Ste 510","Alpharetta, ",GA,30005,Beer Association Member,Independent Craft Brewer
35,Coastal Empire Beer Co,Micro,(912) 428-7911,79 Ross Rd,"Savannah, ",GA,31405-1660,N/A,Independent Craft Brewer
36,"Cochran Mill Brewing Company, LLC",Taproom,(770) 851-7896,27 Word Street,"Fairburn, ",GA,30213,Beer Association Member,Independent Craft Brewer
37,Contrast Artisan Ales,Taproom,N/A,5504 PEACHTREE RD,"CHAMBLEE, ",GA,30341,Beer Association Member,Independent Craft Brewer
38,Creature Comforts Brewing Co.,Regional,(706) 410-1043,271 W Hancock Ave,"Athens, ",GA,30601-2727,Beer Association Member,Independent Craft Brewer
39,Creature Comforts Production Facility At Southern Mill,Regional,N/A,355 Oneta St Bldg A100,"Athens, ",GA,30601,Beer Association Member,Independent Craft Brewer
40,Cultivation Brewing Co.,Taproom,(770) 815-2605,650 Langford Dr.,"Norcross, ",GA,30071,Beer Association Member,Independent Craft Brewer
41,Currahee Brewing Company,Micro,N/A,25 S Main St,"Alpharetta, ",GA,30009,N/A,Independent Craft Brewer
42,Currahee Brewing Company,Taproom,(828) 634-0078,93 W Savannah St,"Clayton, ",GA,30525,N/A,Independent Craft Brewer
43,Debellation Brewing Co,Taproom,(912) 445-4282,822 Longwood Dr,"Richmond Hill, ",GA,31324,Beer Association Member,Independent Craft Brewer
44,Down Home Brewing Co.,Contract,N/A,1169 De Leon Ct,"Clarkston, ",GA,30021,N/A,N/A
45,Dr. Scofflaw's At The Works ATL,Taproom,(404) 915-3392,1295 Chattahoochee Ave NW,"Atlanta, ",GA,30318,Beer Association Member,Independent Craft Brewer
46,Drowned Valley Brewing Co.,Taproom,(470) 523-8220,4 S. Tennessee St,"Cartersville, ",GA,30120,Beer Association Member,Independent Craft Brewer
47,Dry County Brewing Company,Micro,(404) 579-9846,1500 Lockhart Drive,"kennesaw, ",GA,30144,Independent Craft Brewer,Beer Association Associate Member
48,Eagle Creek Brewing Company,Brewpub,(912) 489-2337,106 Savannah Ave Ste B,"Statesboro, ",GA,30458-7162,Beer Association Member,Independent Craft Brewer
49,Elsewhere Brewing Company,Taproom,(512) 913-1692,1039 Grant Street SE,"Atlanta, ",GA,30315,Beer Association Member,Independent Craft Brewer
50,Enotah Valley Brewing Company,Planning,N/A,N/A,Blairsville,GA,30512,Beer Association Associate Member,N/A
51,EuroBevs,Contract,770-437-1285,2255 Cumberland Pkwy SE,"Atlanta, ",GA,30339-4515,N/A,N/A
52,Eventide Brewing Co,Taproom,(404) 907-4543,1015 Grant St SE,"Atlanta, ",GA,30315-2014,Beer Association Member,Independent Craft Brewer
53,Fall Line Brewing Co.,Brewpub,(478) 254-2848,567 Plum Street,"Macon, ",GA,31201,Beer Association Member,Independent Craft Brewer
54,Fannin Brewing,Micro,(706) 258-2762,3758 E First St,"Blue Ridge, ",GA,30513-4514,N/A,Independent Craft Brewer
55,Fire Maker Brewing Company,Taproom,(678) 705-8777,975 Chattahoochee Ave NW,"Atlanta, ",GA,30318,Beer Association Member,Independent Craft Brewer
56,Firewater Brewing Company,Proprietor,(770) 547-5509,3949 North Indian Cir,"Kennesaw, ",GA,30144,Beer Association Member,Independent Craft Brewer
57,Fox City Brewing Co,Brewpub,(478) 993-2174,45 N Kimbell St,"Forsyth, ",GA,31029,N/A,Independent Craft Brewer
58,From The Earth Brewing Company,Brewpub,(770) 910-9799,1570 Holcomb Bridge Rd,"Roswell, ",GA,30076,Beer Association Member,Independent Craft Brewer
59,Gate City Brewing Company,Taproom,(678) 404-0961,43 Magnolia St,"Roswell, ",GA,30075-4289,Beer Association Member,Independent Craft Brewer
60,Georgia Beer Co,Micro,(912) 399-5883,109 S Briggs St,"Valdosta, ",GA,31601-9017,Beer Association Member,Independent Craft Brewer
61,Glover Park Brewery,Taproom,(770) 693-2417,65 Atlanta St,"Marietta, ",GA,30060,Beer Association Member,Independent Craft Brewer
62,Good Word Brewing & Public House,Brewpub,(678) 336-9928,3085 Main St Ste 520,"Duluth, ",GA,30096-3261,Beer Association Member,Independent Craft Brewer
63,Green Line Brewery,Brewpub,(770) 213-4420,192 E Main St,"Canton, ",GA,30114,N/A,Independent Craft Brewer
64,Grumpy Old Men Brewing,Taproom,(770) 331-8870,1315 E Main St,"Blue Ridge, ",GA,30513-8506,Beer Association Member,Independent Craft Brewer
65,Halfway Crooks Beer,Taproom,(678) 705-5530,60 Georgia Ave,"Atlanta, ",GA,30312,Beer Association Member,Independent Craft Brewer
66,Hall and Hound Brewing Company,Planning,N/A,N/A,Cumming,GA,30041,Beer Association Associate Member,N/A
67,Heavale Brewing Company,Planning,N/A,N/A,Jasper,GA,30143-7274,Beer Association Associate Member,N/A
68,Hiawassee Brew,Brewpub,(706) 896-2739,616 S Main St,"Hiawassee, ",GA,30546,N/A,Independent Craft Brewer
69,High Card Brewing,Contract,(678) 561-2337,2316 Main St,"Tucker, ",GA,30084,N/A,N/A
70,Hippin' Hops and Oyster Bar,Brewpub,(678) 713-2739,1308 Glenwood Ave,"Atlanta, ",GA,30316,N/A,Independent Craft Brewer
71,Hixtown Brewing Co,Taproom,(770) 883-6188,407 Main Street,"Villa Rica, ",GA,30180,Beer Association Member,Independent Craft Brewer
72,Hop Atomica,Brewpub,(912) 687-4846,535 East 39th Street,"Savannah, ",GA,31401,Beer Association Member,Independent Craft Brewer
73,Hopstix,Brewpub,(678) 888-2306,3404 Pierce Dr NE,"Chamblee, ",GA,30341-2444,Independent Craft Brewer,Beer Association Associate Member
74,Horned Owl Brewing,Taproom,(404) 532-9432,2765 South Main Street,"Kennesaw, ",GA,30144,Beer Association Member,Independent Craft Brewer
75,Indio Brewing Co,Micro,(678) 206-3700,5019 West Broad Street M145,"Sugar Hill, ",GA,30518,Beer Association Member,Independent Craft Brewer
76,Inner Voice Brewing,Taproom,N/A,308 West Ponce De Leon,"Decatur, ",GA,30030,N/A,Independent Craft Brewer
77,Iron Hill Brewery & Restaurant - Buckhead,Brewpub,(302) 888-2739,3535 Peachtree Rd NE,"Atlanta, ",GA,30326,Beer Association Member,Independent Craft Brewer
78,Iron Hill Brewery & Restaurant - Perimeter,Brewpub,(302) 888-2739,1224 Hammond Dr,"Atlanta, ",GA,303456,Beer Association Member,Independent Craft Brewer
79,Ironmonger Brewing,Micro,(678) 742-8551,2129 Northwest Pkwy SE Ste 105,"Marietta, ",GA,30067-9223,N/A,Independent Craft Brewer
80,Ironshield Brewing,Micro,(678) 360-3537,457 N Chestnut,"Lawrenceville, ",GA,30046,Beer Association Member,Independent Craft Brewer
81,Jekyll Brewing,Micro,(770) 596-8788,2855 Marconi Dr Ste 350,"Alpharetta, ",GA,30005-2051,N/A,Independent Craft Brewer
82,Jekyll Brewing - Alpharetta City Center,Brewpub,(470) 273-5932,251 Market Street,"Alpharetta, ",GA,30009,N/A,Independent Craft Brewer
83,"Johnnie MacCracken's Celtic Firehouse Pub, Inc.",Brewpub,(770) 590-7868,15 Atlanta Street,"Marietta, ",GA,30060-1985,Beer Association Member,Independent Craft Brewer
84,Kettlerock Brewing,Taproom,(770) 231-1674,"6025 Peachtree Parkway, Suite 1","Peachtree Corners, ",GA,30092,Beer Association Member,Independent Craft Brewer
85,Khonso Brewing,Contract,404-539-0373,284 Prospect Place,"Atlanta, ",GA,30312,Beer Association Associate Member,N/A
86,Left Nut Brewing Co,Taproom,(678) 827-6678,2100 Atlanta Highway,"Gainesville, ",GA,30504-7168,Beer Association Member,Independent Craft Brewer
87,Line Creek Brewing,Taproom,N/A,150 Huddleston Rd,"Peachtree City, ",GA,30269,Beer Association Member,Independent Craft Brewer
88,Little Cottage Brewery,Taproom,(404) 382-7960,120 Olive St,"Avondale Estates, ",GA,30002,Beer Association Member,Independent Craft Brewer
89,MAZURT Brewing Company,Contract,N/A,,"Atlanta, ",GA,,N/A,N/A
90,Macon Beer Company,Taproom,(478) 216-7117,458 2nd St,"Macon, ",GA,31201,N/A,Independent Craft Brewer
91,Major Humphrey's Brewing Company,Planning,N/A,N/A,Monroe,GA,30655,Beer Association Associate Member,N/A
92,Mandatory Fun Beer Works,Taproom,(214) 883-3918,3080 Jonquil Dr SE,"Smyrna, ",GA,30080,Beer Association Member,Independent Craft Brewer
93,Max Lager's Wood Fired Grill & Brewery,Brewpub,(404) 525-4400,320 Peachtree St NE,"Atlanta, ",GA,30308-3210,Beer Association Member,Independent Craft Brewer
94,MillerCoors Brewing Co - Albany,Large,N/A,405 Cordele Rd,"Albany, ",GA,31705-2109,N/A,N/A
95,Monday Night Brewing,Regional,(404) 352-7703,670 Trabert Ave NW,"Atlanta, ",GA,30318-4230,Beer Association Member,Independent Craft Brewer
96,Monday Night Brewing - Garage,Micro,N/A,933 Lee St SW,"Atlanta, ",GA,30310,Beer Association Member,Independent Craft Brewer
97,Monkey Wrench Brewing Company LLC,Taproom,(678) 521-2142,3425 Martin Farm Rd.,"Suwanee, ",GA,30024,Beer Association Member,Independent Craft Brewer
98,Moon River Brewing Co,Brewpub,(912) 447-0943,21 W Bay St,"Savannah, ",GA,31401-1106,N/A,Independent Craft Brewer
99,New Realm Brewing,Regional,(404) 968-2778,550 Somerset Ter NE Unit 101,"Atlanta, ",GA,30306-4317,Beer Association Member,Independent Craft Brewer
100,New Realm Brewing Savannah,Brewpub,(912) 244-6100,120 Whitaker St,"Savannah, ",GA,31401,Beer Association Member,Independent Craft Brewer
101,NoFo Brew Co,Taproom,(678) 771-8116,6150 Georgia Highway 400,"Cumming, ",GA,30028,Beer Association Member,Independent Craft Brewer
102,Normaltown Brewing Co.,Taproom,(706) 850-8996,149 Oneta St,"Athens, ",GA,30601,N/A,Independent Craft Brewer
103,Ocmulgee Brewpub,Brewpub,(478) 254-2848,484 2nd St,"Macon, ",GA,31201-2734,Beer Association Member,Independent Craft Brewer
104,Oconee Brewing Company,Micro,(706) 920-1177,202 N West St,"Greensboro, ",GA,30642-1124,N/A,Independent Craft Brewer
105,Omaha Brewing Company,Micro,(229) 838-4779,265 Brew St,"Omaha, ",GA,31821-2258,Beer Association Member,Independent Craft Brewer
106,Orpheus Brewing,Micro,(404) 347-1777,1440 Dutch Valley Pl NE Ste 2001,"Atlanta, ",GA,30324-5366,Beer Association Member,Independent Craft Brewer
107,Our Culture Brewing Company,Planning,N/A,N/A,Austell,GA,30106,Beer Association Associate Member,N/A
108,Outrun Brewing Company,Taproom,(770) 696-5246,5368 East Mountain Street,"Stone Mountain, ",GA,30083,N/A,Independent Craft Brewer
109,Park Tavern Brewery,Brewpub,(404) 249-0001,500 10th St NE,"Atlanta, ",GA,30309-4272,N/A,Independent Craft Brewer
110,Pendley Creek Brewing Company,Taproom,N/A,57 North Main Street,"Jasper, ",GA,30143,N/A,Independent Craft Brewer
111,Phantom Horse Brewing,Brewpub,(423) 314-4978,56-A Fieldstone Village Dr,"Rock Spring, ",GA,30739,Beer Association Member,Independent Craft Brewer
112,Piedmont Brewery and Kitchen,Brewpub,(478) 254-2337,450-B Third Street,"Macon, ",GA,31201,Beer Association Member,Independent Craft Brewer
113,Pontoon Brewing Company,Taproom,(704) 929-3821,8601 Dunwoody Pl,"Sandy Springs, ",GA,30350-2551,Beer Association Member,Independent Craft Brewer
114,Porter Brew & Que Brewery,Brewpub,N/A,5486 Chamblee Dunwoody Rd #14,"Atlanta, ",GA,30338,N/A,Independent Craft Brewer
115,Porter Pizza & Brewery,Brewpub,(678) 996-6908,6370 Powers Ferry Rd NW,"Sandy Springs, ",GA,30339,N/A,Independent Craft Brewer
116,Pretoria Fields Collective,Micro,(229) 518-1770,120 Pine Ave,"Albany, ",GA,31701-2529,N/A,Independent Craft Brewer
117,Printer's Ale Manufacturing Company,Taproom,(770) 836-4253,940 Columbia Dr,"Carrollton, ",GA,30117-8780,Beer Association Member,Independent Craft Brewer
118,Red Hare Brewing - The Still On the Square,Brewpub,(678) 401-0600,1998 Delk Industrial Blvd SE,"Marietta, ",GA,30067-8904,N/A,Independent Craft Brewer
119,Red Hare Brewing Company,Micro,(678) 401-0600,1998 Delk Industrial Blvd SE,"Marietta, ",GA,30067-8904,N/A,Independent Craft Brewer
120,Red Top Brewhouse,Brewpub,(470) 893-0425,4637 South Main Street,"Acworth, ",GA,31010,Beer Association Member,Independent Craft Brewer
121,Reformation Brewery,Micro,(770) 361-8503,141 Railroad St,"Canton, ",GA,30114,Beer Association Member,Independent Craft Brewer
122,Reformation Brewery Smyrna,Taproom,(678) 341-0828,6255 Riverview Rd,"Smyrna, ",GA,30126,Beer Association Member,Independent Craft Brewer
123,Reformation Brewery Woodstock,Taproom,(678) 345-8080,105 Elm St,"Woodstock, ",GA,30188,Beer Association Member,Independent Craft Brewer
124,Rightside Brewing,Proprietor,(770) 356-7074,1678 Barfield Run NW,"Atlanta, ",GA,30318,Beer Association Member,Independent Craft Brewer
125,Riverwatch Brewery,Taproom,(706) 421-7177,1150 5th St Bldg 61,"Augusta, ",GA,30901-5861,Beer Association Member,Independent Craft Brewer
126,RockSolid Brewing Co,Micro,(678) 392-5815,345 Gilmer Ferry Rd,"Ball Ground, ",GA,30107,Beer Association Member,Independent Craft Brewer
127,Round Trip Brewing Company,Taproom,(720) 412-7527,1279 Seaboard Industrial Blvd NW,"Atlanta, ",GA,30318,Beer Association Member,Independent Craft Brewer
128,Sabbath Brewing,Micro,(678) 665-7078,530 Flat Shoals Ave SW,"Atlanta, ",GA,30316,Beer Association Member,Independent Craft Brewer
129,Savannah River Brewing Company,Micro,(706) 426-8212,813 5th St,"Augusta, ",GA,30901-2414,Beer Association Member,Independent Craft Brewer
130,Sceptre Brewing Arts,Brewpub,(619) 906-6151,630 East Lake Drive,"Decatur, ",GA,30030,Beer Association Member,Independent Craft Brewer
131,Schoolhouse Brewing,Taproom,(770) 361-5247,840 Franklin Ct ,"Marietta, ",GA,30067,Beer Association Member,Independent Craft Brewer
132,Scofflaw Brewing Co,Regional,(404) 915-3392,1738 Macarthur Blvd NW,"Atlanta, ",GA,30318-2022,Beer Association Member,Independent Craft Brewer
133,Second Self Beer Company,Micro,(678) 916-8035,1311 Logan Cir NW,"Atlanta, ",GA,30318-2858,Beer Association Member,Independent Craft Brewer
134,Senoia Beer Company,Contract,(404) 414-6053,22 Main St,"Senoia, ",GA,30276,N/A,N/A
135,Service Brewing Company,Micro,(845) 242-5355,574 Indian St,"Savannah, ",GA,31401-1121,Beer Association Member,Independent Craft Brewer
136,Side Tracks Brewing Company,Planning,N/A,N/A,Conyers,GA,30094,Beer Association Associate Member,N/A
137,Silver Bluff Brewing Co,Taproom,678-612-4223,1325 Newcastle,"Brunswick, ",GA,31520,Beer Association Member,Independent Craft Brewer
138,Slow Pour Brewing Company,Taproom,(404) 510-8901,407 N Clayton St,"Lawrenceville, ",GA,30046-4818,Beer Association Member,Independent Craft Brewer
139,Social Fox Brewing,Taproom,(470) 359-4109,20 Skin Alley,"Norcross, ",GA,30071-2531,Beer Association Member,Independent Craft Brewer
140,Southbound Brewing Co,Micro,(912) 335-1737,107 E Lathrop Ave,"Savannah, ",GA,31415-2182,N/A,Independent Craft Brewer
141,Southern Brewing Company,Micro,(706) 548-7183,231 Collins Industrial Blvd,"Athens, ",GA,30601-1517,N/A,Independent Craft Brewer
142,Southern Brewing Company - Monroe,Taproom,(678) 635-3662,123 N Lumpkin St,"Monroe, ",GA,30655,N/A,Independent Craft Brewer
143,Southern Hart Brewing,Brewpub,(706) 376-2739,350 E Howell St,"Hartwell, ",GA,30643,Beer Association Member,Independent Craft Brewer
144,Southern Philosophy Brewing,Brewpub,(229) 400-9494,114 E Broughton Street,"Bainbridge, ",GA,39817,Beer Association Member,Independent Craft Brewer
145,Split Fin Brewing,Taproom,(315) 329-9056,60 Butler Street,"Midway, ",GA,31320,Beer Association Member,Independent Craft Brewer
146,Stats Brewpub,Brewpub,(770) 570-0160,300 Marietta St NW,"Atlanta, ",GA,30313-1632,Beer Association Member,Independent Craft Brewer
147,Steady Hand Beer Co.,Taproom,(404) 458-5981,1611 Ellsworth Industrial Blvd NW,"Atlanta, ",GA,30318,Beer Association Member,Independent Craft Brewer
148,StillFire Brewing,Taproom,(770) 927-8989,343 US-23,"Suwanee, ",GA,30024,Beer Association Member,Independent Craft Brewer
149,Strange Duck Brewing,Taproom,(706) 201-5094,26 Old Allen Rd,"Commerce, ",GA,30530,N/A,Independent Craft Brewer
150,SweetWater Brewing Co,Regional,(404) 691-2537,195 Ottley Dr NE,"Atlanta, ",GA,30324-3924,N/A,Independent Craft Brewer
151,Talking Rock Brewery,Taproom,N/A,4500 SR-136,"Talking Rock, ",GA,30175,N/A,Independent Craft Brewer
152,Tantrum Brewing Company,Brewpub,(706) 809-0808,1939 Helen Hwy,"Cleveland, ",GA,30528,Beer Association Member,Independent Craft Brewer
153,Terrapin ATL Brew Lab,Large,(404) 494-1202,755 Battery Ave SE,"Atlanta, ",GA,30339,N/A,N/A
154,Terrapin Beer Co,Large,(706) 549-3377,265 Newton Bridge Rd,"Athens, ",GA,30607-1145,N/A,N/A
155,The Bold Monk Brewing Co.,Brewpub,(404) 525-4400,"1737 Ellsworth Industrial Blvd., NW","Atlanta, ",GA,30318,Beer Association Member,Independent Craft Brewer
156,The Dahlonega Brewery,Taproom,(706) 864-6323,3003 Morrison Moore Pkwy E,"Dahlonega, ",GA,30533-3953,Beer Association Member,Independent Craft Brewer
157,The Lost Druid Brewery,Brewpub,(404) 998-5679,2866 Washington St,"AVONDALE ESTATES, ",GA,30002,Beer Association Member,Independent Craft Brewer
158,The Village Corner / Stone Mountain Brewery,Brewpub,(770) 498-0329,6655 James B Rivers Dr,"Stone Mountain, ",GA,30083-2232,N/A,Independent Craft Brewer
159,The Woodlands At SweetWater,Micro,(404) 691-2537,215 Ottley Dr,"Atlanta, ",GA,30324-3924,N/A,Independent Craft Brewer
160,The Wrecking Bar Brewpub,Brewpub,(404 )221-2600,292 Moreland Ave NE,"Atlanta, ",GA,30307-1953,Beer Association Member,Independent Craft Brewer
161,Three Taverns Craft Brewery,Micro,(404) 600-3355,121 New St,"Decatur, ",GA,30030-4131,Beer Association Member,Independent Craft Brewer
162,Three Taverns Imaginarium,Taproom,N/A,777 Memorial Dr SE,"Atlanta, ",GA,30316,Beer Association Member,Independent Craft Brewer
163,Torched Hop Brewing Company,Brewpub,(404) 835-2040,249 Ponce de Leon Ave NE,"Atlanta, ",GA,30308-1937,Beer Association Member,Independent Craft Brewer
164,Towerhouse Farm Brewery,Taproom,(404) 402-9881,944 Germany Rd,"Gay, ",GA,30218,N/A,Independent Craft Brewer
165,Tucker Brewing Company,Brewpub,(833) 752-2400,2003 S Bibb Dr,"Tucker, ",GA,30084-6240,Beer Association Member,Independent Craft Brewer
166,Twain's Brewpub & Billiards,Micro,(404) 373-0063,211 E Trinity Pl,"Decatur, ",GA,30030-3414,N/A,Independent Craft Brewer
167,Two Tides Brewing Company,Taproom,(912) 667-0706,12 West 41st St,"Savannah, ",GA,31401,Beer Association Member,Independent Craft Brewer
168,Variant Brewing Company,Taproom,(770) 598-5002,66 Norcross St,"Roswell, ",GA,30075-3866,Beer Association Member,Independent Craft Brewer
169,Whistle Top Brew Company,Taproom,(706) 776-9556,248 N Main St,"Cornelia, ",GA,30531,N/A,Independent Craft Brewer
170,Wild Heaven - West End Brewery & Gardens,Brewpub,(404) 997-8589,1010 White St SW,"Atlanta, ",GA,30310,Beer Association Member,Independent Craft Brewer
171,Wild Heaven Beer,Micro,(404) 997-8589,135B Maple St,"Decatur, ",GA,30030-3953,Beer Association Member,Independent Craft Brewer
172,Wild Leap Brewing Company,Micro,(706) 298-6400,308 Main St,"Lagrange, ",GA,30240-4504,Beer Association Member,Independent Craft Brewer
173,Yes Face Beer,Contract,(404) 213-3867,,"Sun City Peachtree, ",GA,,N/A,N/A
